"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID"
"H2ac6",40.2303750694834,0.156609955658658,0.913926340820701,0.160417693538631,0.872552052681841,0.962492961200798,"H2ac6","319164"
"Tubg2",118.046762385265,-0.15656957281889,0.214868060316895,-0.682137552704317,0.495151977065363,0.714712981753669,"Tubg2","103768"
"Pilrb1",2226.75159411672,-0.156455136011583,0.241016837284674,-0.607655206422774,0.543416177613233,0.752779603810307,"Pilrb1","170741"
"Gm17655.1",67.3982303497929,0.156448117541619,0.245521869790799,0.59647687461163,0.550856698174356,0.759136107663604,"Gm17655","100504130"
"Rnf2",1620.53134787163,-0.156338947094511,0.0937129928538799,-1.56156518576552,0.118390456301903,0.279241424728234,"Rnf2","19821"
"Idua.1",2052.51747800415,-0.156335757861794,0.0844389677041614,-1.73303584637004,0.0830892976721896,0.215674621803594,"Idua","15932"
"Gpatch8",3360.66009791669,-0.15624501075548,0.0954572630511195,-1.53204697139873,0.125510844096076,0.291509963621399,"Gpatch8","237943"
"Cct5",9615.56865739964,0.15623049510641,0.096781599045615,1.51093282760795,0.130805565974401,0.30044248466337,"Cct5","12465"
"Gm43766",11.6926596285774,-0.156171133904825,0.88376111918917,-0.165396656099709,0.868631785475701,0.960167457317021,"Gm43766",NA
"Gm38387",23.3606274484129,0.156094015397201,0.509615702380831,0.286674870328125,0.774361280890813,0.911400826913464,"Gm38387",NA
"Lmnb1",8044.66466670245,-0.156079231457669,0.0910921977833408,-1.60364153036589,0.108793090865675,0.263014870728505,"Lmnb1","16906"
"Gm16477",289.190556795581,0.15606794560384,0.152862026727276,0.955554160383092,0.339297530020214,0.571370211647414,"Gm16477","677073"
"Ankfy1",5613.38277919614,-0.156058371214897,0.0881363897208104,-1.65718577397561,0.0974819218037287,0.241926788353949,"Ankfy1","11736"
"Ykt6",2792.1846729885,-0.156042595588532,0.0727855727598476,-2.00647724612118,0.0448053540347707,0.136361263746185,"Ykt6","56418"
"Gm44321",55.5544578349725,-0.156016728575749,0.311031618611308,-0.469459437042715,0.638741272167475,0.822388679624627,"Gm44321",NA
"Gm6451",57.8838397453014,0.15601059394564,0.307744668732821,0.474453690934297,0.635176413636526,0.81979912813074,"Gm6451","623804"
"Dicer1",4134.70738347445,0.155926887398629,0.0676802139096509,2.15612331830736,0.0310740371455199,0.102722044092646,"Dicer1","192119"
"Gm7785.1",17.0958469370489,0.155923462898521,0.61153690257642,0.238617591651039,0.811402122953934,0.930821370962761,"Gm7785","102639127"
"Pgam1.ps2",7868.65398326236,-0.155829361443217,0.12980867392396,-1.12341769648338,0.26126013745241,0.484771582529537,"Pgam1","18648"
"Ice1.1",2.68460808076212,0.155772657487912,1.69996637176129,0.0857503183059325,0.931664901180397,NA,"Ice1","218333"
"Coq8b",1177.70427851589,0.15575864642269,0.143438415973974,1.01617579525653,0.309545680492188,0.539363673081848,"Coq8b","76889"
"Ccdc91",330.856478555845,-0.155749084063813,0.161219052259914,-0.904043796441874,0.365972178615408,0.596537526022759,"Ccdc91","67015"
"Rnpc3",540.265077345348,0.155743018033712,0.118746735678075,1.22734336402159,0.219693563535476,0.432262606046001,"Rnpc3","67225"
